RegionsCount::Count!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;RegionsIntensityMean_DAPI::Intensity Mean Value of channel 'DAPI'!!R
#;;;;;Gray
317;"A1";1;1;1;80,776436895477
264;"A2";1;2;1;76,082703879145
242;"A3";1;3;1;105,57871071678
205;"A4";1;4;1;37,05593266359
216;"A5";1;5;1;73,933151468602
230;"A6";1;6;1;66,13092993069
207;"A7";1;7;1;68,888246787198
202;"A8";1;8;1;99,380508105756
196;"A9";1;9;1;65,564006938422
172;"A10";1;10;1;83,689440118389
179;"A11";1;11;1;58,85724028893
197;"A12";1;12;1;72,411155481965
167;"B12";2;12;1;62,612013152097
202;"B11";2;11;1;81,214279856764
249;"B10";2;10;1;80,329165095723
215;"B9";2;9;1;53,278888347148
224;"B8";2;8;1;73,646345355889
207;"B7";2;7;1;58,943081479067
206;"B6";2;6;1;58,127998074815
188;"B5";2;5;1;87,918948151153
171;"B4";2;4;1;71,784158032342
196;"B3";2;3;1;62,056275958277
181;"B2";2;2;1;81,101724712801
155;"B1";2;1;1;52,289644695755
162;"C1";3;1;1;67,752446183953
193;"C2";3;2;1;65,920768067563
215;"C3";3;3;1;36,40432721272
218;"C4";3;4;1;77,176543774122
204;"C5";3;5;1;45,625155297876
196;"C6";3;6;1;51,973587717991
164;"C7";3;7;1;46,433622583084
182;"C8";3;8;1;77,058825374914
138;"C9";3;9;1;59,006626558549
195;"C10";3;10;1;65,168518294892
163;"C11";3;11;1;66,218816279163
206;"C12";3;12;1;70,496883293217
172;"D12";4;12;1;82,712518693918
201;"D11";4;11;1;86,537569897484
202;"D10";4;10;1;52,950228087325
199;"D9";4;9;1;59,088164527956
204;"D8";4;8;1;86,294825819672
199;"D7";4;7;1;59,32136782216
189;"D6";4;6;1;61,729884386313
163;"D5";4;5;1;52,515562819784
160;"D4";4;4;1;60,619963018526
172;"D3";4;3;1;69,181332472748
190;"D2";4;2;1;40,836296835465
183;"D1";4;1;1;72,861100118718
195;"E1";5;1;1;112,33573976797
201;"E2";5;2;1;46,096262284518
218;"E3";5;3;1;47,250527278734
211;"E4";5;4;1;46,413518480703
189;"E5";5;5;1;58,515794278758
162;"E6";5;6;1;50,290793266664
176;"E7";5;7;1;71,5341995842
174;"E8";5;8;1;87,271379814725
182;"E9";5;9;1;57,868370824813
140;"E10";5;10;1;39,30689305626
173;"E11";5;11;1;55,580997465335
200;"E12";5;12;1;44,012234910277
208;"F12";6;12;1;87,390256851047
189;"F11";6;11;1;69,378119540804
127;"F10";6;10;1;67,784297633703
177;"F9";6;9;1;67,572400820793
169;"F8";6;8;1;58,21761626305
178;"F7";6;7;1;79,83864535722
183;"F6";6;6;1;60,842581910475
168;"F5";6;5;1;60,403017930055
187;"F4";6;4;1;58,456271291422
157;"F3";6;3;1;38,426723241399
210;"F2";6;2;1;64,279098762134
204;"F1";6;1;1;45,799459008374
300;"G1";7;1;1;74,776792500633
152;"G2";7;2;1;60,508594465824
198;"G3";7;3;1;82,040056137068
171;"G4";7;4;1;67,025518798609
197;"G5";7;5;1;76,491328943708
217;"G6";7;6;1;68,109712810584
175;"G7";7;7;1;69,892049650128
148;"G8";7;8;1;50,082512851791
170;"G9";7;9;1;95,300470612483
169;"G10";7;10;1;63,479148112294
164;"G11";7;11;1;43,91104815864
182;"G12";7;12;1;42,071672969566
275;"H12";8;12;1;86,902749618425
185;"H11";8;11;1;92,556375064136
180;"H10";8;10;1;61,467263624109
187;"H9";8;9;1;86,110618768793
274;"H8";8;8;1;65,659911000438
180;"H7";8;7;1;34,829783438582
177;"H6";8;6;1;74,642394550518
161;"H5";8;5;1;95,744079767345
223;"H4";8;4;1;43,805139664805
141;"H3";8;3;1;78,911145137342
232;"H2";8;2;1;39,926899462778
228;"H1";8;1;1;74,85652353997
